Game,M-4,M-3,M-2,M-1,Launch Month,M1,M2,M3,M4,Genre
Killer Klowns from Outer Space: The Game,0,0,0,0.393,1,0.035,0,0,0,Adventure
Little Nightmares II,0,0,0,0.065,1,0.513,0.339,0.196,0.257,Platformer
Persona 4 Arena Ultimax,0,0.178,0,0,1,0.112,0.021,0.069,0.061,Fighting
Super Monkey Ball Banana Mania,0,0,0,0.203,1,0.042,0.017,0.048,0,Platformer
F1 24,0,0,0,0.19,1,2.435,0.59,0.175,0,Racing
Chivalry 2,0,0,0.137,0.071,1,0.71,3.767,1.595,0.051,Fighting
Chrono Cross: The Radical Dreamers Edition,0,0,0.156,0.344,1,0.05,0,0,0,Role Playing
Train Sim World 4,0,0,0,0.238,1,1.18,0.644,0.369,0.245,Simulation
NBA 2K24,0,0,0,0.142,1,0.047,0.168,0.222,0.151,Sports
Star Wars: Bounty Hunter (2024),0,0,0,0.223,1,0,0,0,0,Shooter
SMITE 2,0.483,0.292,0.022,0,1,0,0,0,0,Battle Arena
Death's Door,0,0,0,0.06,1,0.425,0.042,0.071,0.052,Adventure
Total War: Rome Remastered,0,0,0,0.35,1,0.834,0.026,0,0,Strategy
Return to Monkey Island,0,0,0,0.102,1,0.518,0.006,0.005,0.043,Adventure
Total War: Pharaoh,0,0,0,0.244,1,0,0.241,0.364,0,Strategy
The Jackbox Party Pack 9,0,0,0,0.132,1,0.759,0.809,0.434,0.218,Arcade
Eastward,0,0,0,0.173,1,0.095,0,0.023,0.156,Adventure
Train Sim World 3,0,0,0,0.317,1,0.141,0.127,0.283,0.116,Simulation
EA Sports PGA Tour,0,0,0,0.244,1,0.262,0,0,0,Sports
Against the Storm,0.073,0,0,0,1,0.769,1.303,0.455,0.497,Strategy
Super Mega Baseball 4,0,0,0,0.445,1,0.104,0,0,0,Sports
Dragon Ball: The Breakers,0,0,0.224,0.145,1,0.108,0.261,0.015,0.049,Adventure
Crime Boss: Rockay City,0,0.285,0,0,1,5.108,0,0.057,0.412,Shooter
Arcadegeddon,0,0,0,0,1,0,0,0,0,Shooter
Ooblets,0,0,0,0,1,0,0,0,0,Simulation
Vanguard Revenue Model,0,0,0,0,1,0.533,0.32,0.224,0.179,Shooter
